instance,path,configuration,suppression_state,transform_4x4
"碗组轴承32.7-41.8-6-4","E:\2025赛季\串联腿\碗组轴承32.7-41.8-6.SLDPRT","默认","0","0.99427064866531623;0.1068918949343273;-1.7302299425475263E-18;-0.1068918949343273;0.99427064866531623;-1.300748892596018E-17;3.2992170768372037E-19;1.3117912009152363E-17;1;-0.20473381266095089;-0.026733991412147152;-0.29990000000000039;1;0;0;0"
"膝关节螺母M27-2","E:\2025赛季\串联腿\膝关节螺母M27.SLDPRT","默认","0","2.7755575615629037E-17;-2.775557561562937E-17;-1;0.0033681812141853162;0.9999943276615666;-2.7661932368233601E-17;0.9999943276615666;-0.0033681812141853162;2.7848903984988197E-17;-0.20473381266095089;-0.026733991412147155;-0.28440000000000043;1;0;0;0"
"法兰轴承F698 8-19-6-18","E:\2025赛季\串联腿\法兰轴承F698 8-19-6.SLDPRT","默认","0","0.89701097507707173;0.44200826982227515;1.3551944236097301E-15;1.1408256170817764E-15;7.5080342856874645E-16;-1;-0.44200826982227515;0.89701097507707173;1.6922455837641449E-16;0.092130215697428505;-0.0010302961354669723;-0.316;1;0;0;0"
"法兰轴承F698 8-19-6-20","E:\2025赛季\串联腿\法兰轴承F698 8-19-6.SLDPRT","默认","0","0.9999434427826287;0.010635376628209252;1.0902919159140498E-15;-1.0829780428438884E-15;-6.9345200951110246E-16;1;0.010635376628209252;-0.9999434427826287;-6.8189491042933826E-16;0.092130215697428505;-0.0010302961354669766;-0.30299999999999999;1;0;0;0"
"大腿-2","E:\2025赛季\串联腿\大腿.SLDPRT","默认","0","-0.97492291743309989;-0.22254281624831992;-1.2319712278557865E-15;-0.2225428162483199;0.97492291743309967;1.1556114309736457E-15;9.4390396131717515E-16;1.400798414287793E-15;-1;2.3314683518227265E-17;0.020000000000000032;-0.28600000000000003;1;0;0;0"
"碗组轴承40.5-49.5-6.5-4","E:\2025赛季\串联腿\碗组轴承40.5-49.5-6.5.SLDPRT","默认","0","0.94717417284212635;0.32071963815899035;2.6705274505017038E-17;0.32071963815899035;-0.94717417284212646;-7.8868093126471249E-17;2.4651903288156624E-32;8.326672684688679E-17;-1;1.3718328316951748E-15;0.020000000000000805;-0.28675;1;0;0;0"
"髋关节锁盖M24-2","E:\2025赛季\串联腿\髋关节锁盖M24.SLDPRT","默认","0","0.9996948491872788;0.024702398839467059;1.5872597203991623E-16;-0.024702398839467059;0.9996948491872788;6.6843024172897968E-17;-1.5702635363779321E-16;-7.0743539237258965E-17;1;1.7137766623559888E-17;0.020000000000000028;-0.34950000000000003;1;0;0;0"
"大腿链轮20T-2","E:\2025赛季\串联腿\大腿链轮20T.SLDPRT","默认","0","0.49715787792420135;-0.86766009728343807;-1.7702371950463978E-16;0.86766009728343807;0.49715787792420135;-2.9343000001345019E-16;3.4260623908872509E-16;-7.7153815608865037E-18;1;1.3723283117645592E-15;0.020000000000000819;-0.29300000000000004;1;0;0;0"
"小腿链轮20T M24-2","E:\2025赛季\串联腿\小腿链轮20T M24.SLDPRT","默认","0","-0.68018919101731767;-0.73303660510455226;-1.6910371484244411E-16;0.73303660510455226;-0.68018919101731767;-1.444325110508442E-16;-9.1482014292886505E-18;-2.222006458869685E-16;1;-2.7720026869607031E-18;0.020000000000000052;-0.32849999999999996;1;0;0;0"
"大侧板-2","E:\2025赛季\串联腿\大侧板.SLDPRT","默认","0","-1;1.0263416486754036E-48;-2.4651903288156619E-32;-1.0263416486754036E-48;1;8.3266726846886778E-17;2.4651903288156619E-32;8.3266726846886778E-17;-1;3.106139814307734E-33;1.0408340855860843E-17;-0.252;1;0;0;0"
"髋关节RA6008压紧盖-2","E:\2025赛季\串联腿\髋关节RA6008压紧盖.SLDPRT","默认","0","-1;1.0263416486754036E-48;-2.4651903288156619E-32;-1.0263416486754036E-48;1;8.3266726846886778E-17;2.4651903288156619E-32;8.3266726846886778E-17;-1;-3.5005702669182403E-33;0.02;0.016000000000000014;1;0;0;0"
"MG8016-i6-3","E:\2025赛季\串联腿\MG8016-i6.SLDPRT","默认","0","-0.80777222373962776;-0.58949472818231097;1.1975524995748574E-16;0.58949472818231097;-0.80777222373962776;-2.4476875140301472E-16;2.4102485313849705E-16;-1.2712231010069258E-16;1;-0.099612047464147327;-2.5330502828782698E-15;-0.24580000000000002;1;0;0;0"
