mate_name,mate_type,alignment,entity_index,component,entity_params,error_code,suppressed
"同心59","1","1","0","塞打螺栓 M6-φ8-20-2","1.1724398114972597E-17;-0.065592462731278417;0.037499999999999999;-1.1325426831307235E-15;-6.8738131985788651E-16;-1;0.0029999999999999966;0","0","False"
"同心59","1","1","1","防松螺母M6-2","4.1736779217936773E-17;-0.065592462731278403;0.064000000000000001;1.3253624876418765E-15;7.7714841663639433E-16;1;0.0030000000000000005;0","0","False"
"重合59","0","0","0","膝关节一级长连杆-1","0.092153343248839309;-0.00092872017261721139;0.040499999999999994;1.0500735297373593E-17;-4.9746110708877687E-18;-1;0;0","0","True"
"重合59","0","0","1","防松螺母M6-2","5.3674155442068859E-17;-0.065457871166994419;0.040500000000000057;-1.2212453270876726E-15;-8.3266726846886849E-16;-1;0;0","0","True"
"同心61","1","0","0","法兰轴承F698 8-19-6-8","-0.13389259229313683;0.04877837681491648;0.056999999999999967;-2.4061402919670039E-17;-1.2948102237673886E-16;-1;0.0040000000000000001;0","0","False"
"同心61","1","0","1","塞打螺栓 M6-φ8-20-3","-0.13389259229313683;0.04877837681491648;0.045499999999999964;-6.8103076525820218E-18;-1.2619324253044827E-16;-1;0.0039999999999999983;0","0","False"
"重合60","0","1","0","法兰轴承F698 8-19-6-8","-0.13389259229313683;0.04877837681491648;0.050999999999999962;-2.4061402919670039E-17;-1.2948102237673886E-16;-1;0;0","0","False"
"重合60","0","1","1","塞打螺栓 M6-φ8-20-3","-0.1310594626695282;0.054628451732029196;0.050999999999999962;6.8103076525820218E-18;1.2619324253044827E-16;1;0;0","0","False"
"同心62","1","1","0","塞打螺栓 M6-φ8-20-3","-0.13389259229313683;0.04877837681491648;0.045499999999999964;-6.8103076525820218E-18;-1.2619324253044827E-16;-1;0.0029999999999999966;0","0","False"
"同心62","1","1","1","防松螺母M6-3","-0.13389259229313683;0.048778376814916487;0.074499999999999997;-3.479730899685042E-17;5.4350444260512812E-17;1;0.0030000000000000005;0","0","False"
