instance,path,configuration,suppression_state,transform_4x4
"碗组轴承32.7-41.8-6-改1.15-4","D:\WheelLeg\碗组轴承32.7-41.8-6-改1.15.SLDPRT","默认","2","4.8731624839158922E-16;0.99730065104946941;-0.073426231118753488;-6.3759972172752065E-17;-0.073426231118753488;-0.99730065104946941;-1;4.906824662407986E-16;2.7806066276456967E-17;-0.159;-0.19391874541603688;0.049905209992997995;1;0;0;0"
"2_膝关节螺母M27-改1.15-2","D:\WheelLeg\2_膝关节螺母M27-改1.15.SLDPRT","默认","2","-1;1.7817431487470582E-16;8.2413277638238322E-16;6.3843262027053248E-16;0.79845980257197691;0.6020481240538168;-5.5076738189848217E-16;0.6020481240538168;-0.79845980257197691;-0.1605;-0.19391874541603696;0.04990520999299769;1;0;0;0"
"膝关节垫板-改1.15-2","D:\WheelLeg\膝关节垫板-改1.15.SLDPRT","默认","2","9.5501224435648354E-17;-0.86200237242663669;0.5069042413817918;8.674690456931204E-17;0.5069042413817918;0.8620023724266368;-1;-3.834990818025177E-17;1.2318601326299861E-16;-0.17600000000000002;-0.19391874541603688;0.049905209992997995;1;0;0;0"
"MT2042-6线5A-改1.15-2","D:\WheelLeg\MT2042-6线5A-改1.15.SLDPRT","默认","2","3.4661130499575878E-16;0.58886494907957676;0.80823144689223003;-8.8641543570851971E-17;-0.80823144689223003;0.58886494907957676;1;-2.7575013148176341E-16;-2.2794425850474126E-16;-0.24090000000000011;-1.7489604881960316E-12;0.13050000000124501;1;0;0;0"
"2_膝关节锁盖M27-改1.15-2","D:\WheelLeg\2_膝关节锁盖M27-改1.15.SLDPRT","默认","2","-4.2371545668648861E-16;-0.78075532217868338;-0.62483688022527961;4.3356439632169186E-16;-0.62483688022527961;0.78075532217868338;-1;5.9911073122944746E-17;6.0326075399456397E-16;-0.155;-0.19391874541603688;0.049905209992997995;1;0;0;0"
"镜向小腿-改1.15-2","D:\WheelLeg\镜向小腿-改1.15.SLDPRT","默认","2","-2.833382120124445E-17;0.77567498166419013;-0.63113257150955093;8.429554179460568E-17;0.63113257150955093;0.77567498166419013;0.99999999999999989;-3.1223874951149564E-17;-8.3268318814791552E-17;-0.17800000000000002;-0.19391874541604232;0.049905209992977075;1;0;0;0"
"新侧挂轴-改4.15-2","D:\WheelLeg\新侧挂轴-改4.15.SLDPRT","默认","2","6.9427293207097206E-17;1;1.5309975509580911E-13;4.5398417407999678E-18;-1.5309975509580911E-13;1;1;-6.9427293207096516E-17;-4.5398417408105974E-18;-0.2414;-2.8917489169235173E-15;0.13049999999999998;1;0;0;0"
"滚针轴承20-26-10-改1.15-3","D:\WheelLeg\滚针轴承20-26-10-改1.15.SLDPRT","默认","2","3.095514506700672E-18;-0.010736976690601394;0.99994235700441525;-1.365733713827172E-16;0.99994235700441525;0.010736976690601394;-1;-1.3659873535157745E-16;1.6289509668785476E-18;-0.19950000000000012;-0.00011637143067797648;0.13070851336240855;1;0;0;0"
"碗组轴承42-52-7-改1.15-3","D:\WheelLeg\碗组轴承42-52-7-改1.15.SLDPRT","默认","2","-4.2785823018522492E-16;0.16096670564885801;0.98695983690956446;-2.772342471157208E-16;0.98695983690956446;-0.16096670564885801;-1;-3.4248999711674408E-16;-3.7765340563276541E-16;-0.17250000000000001;-5.7778510716320926E-17;0.13049999999999998;1;0;0;0"
"RA6008-改1.15-2","D:\WheelLeg\RA6008-改1.15.SLDPRT","默认","2","-3.4686971316731884E-16;0.16731219864480751;-0.98590396499083044;1.3201490855017855E-16;0.98590396499083044;0.16731219864480751;1;-7.2118487424205051E-17;-3.6406793015031527E-16;-0.13449999999999968;4.2514994768415586E-16;0.13049999999999992;1;0;0;0"
