rank,score,pose_LL,pose_Lcrank,pose_RL,pose_Rcrank,init_roll,kp,kd,kv,tail_abs_roll,max_abs_roll,tail_height,tail_abs_v,tail_leg_error,height_deficit,saturation,done,passed
93,0.188801,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,-1.0000,+0.3000,0.000001,0.004544,0.084661,0.001265,0.014394,0.002061,0.000000,False,True
94,0.188889,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,-2.0000,+0.0000,0.000001,0.004649,0.084612,0.001021,0.016139,0.002026,0.000000,False,True
95,0.188909,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+1.5000,+0.0000,0.000001,0.004834,0.084702,0.001297,0.013168,0.002097,0.000000,False,True
96,0.188913,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+1.5000,+0.3000,0.000001,0.004727,0.084631,0.001228,0.015619,0.002037,0.000000,False,True
97,0.188941,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,-1.0000,-0.3000,0.000009,0.005950,0.084677,0.001183,0.013963,0.002080,0.000000,False,True
98,0.188971,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.5000,+3.0000,+0.0000,0.000001,0.005140,0.084684,0.001230,0.013763,0.002086,0.000000,False,True
99,0.189099,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,-2.0000,+0.0000,0.000001,0.004510,0.084655,0.001242,0.015603,0.002046,0.000000,False,True
100,0.189289,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,+3.0000,+0.5000,0.000001,0.005148,0.084625,0.001101,0.016137,0.002044,0.000000,False,True
101,0.189313,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,+1.5000,+0.3000,0.000001,0.006637,0.084691,0.001219,0.013579,0.002108,0.000000,False,True
102,0.189677,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,+0.5000,-0.5000,0.000002,0.005473,0.084662,0.001158,0.014189,0.002112,0.000000,False,True
103,0.189683,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-2.0000,-1.0000,+0.3000,0.000002,0.007606,0.084667,0.001226,0.014255,0.002109,0.000000,False,True
104,0.189692,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-2.0000,+1.0000,+0.3000,0.000001,0.004803,0.084675,0.001218,0.013641,0.002125,0.000000,False,True
105,0.189700,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.5000,+0.5000,-0.3000,0.000001,0.005342,0.084666,0.001214,0.014248,0.002111,0.000000,False,True
106,0.190562,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,-0.5000,+0.3000,0.000099,0.006170,0.084858,0.000921,0.018268,0.002053,0.000000,False,True
107,0.190617,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,+2.0000,+0.3000,0.000001,0.004839,0.084651,0.001081,0.014365,0.002155,0.000000,False,True
108,0.190679,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+3.0000,+0.3000,0.000001,0.008130,0.084680,0.001165,0.013808,0.002134,0.001250,False,True
109,0.190857,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,+2.0000,+0.3000,0.000011,0.007622,0.084716,0.001026,0.013338,0.002193,0.000000,False,True
110,0.193499,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,-3.0000,-0.3000,0.000001,0.006503,0.084675,0.001255,0.013820,0.002273,0.001250,False,True
111,0.194269,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,-1.5000,-0.5000,0.001113,0.004679,0.085123,0.001045,0.020549,0.002128,0.000000,False,True
