index,label,action_LL,action_Lcrank,action_RL,action_Rcrank,baseline_height,mean_height,height_delta,min_height,max_height,mean_roll,mean_pitch,max_abs_roll,max_abs_pitch,max_abs_dof_velocity,max_target_error,max_abs_wheel_action,finite,done_seen,position_LL,target_LL,position_Lcrank,target_Lcrank,position_RL,target_RL,position_Rcrank,target_Rcrank
30,combo_a0p40_npnp,-0.4,0.4,-0.4,0.4,0.08659986406564713,0.08666364848613739,6.378442049026489e-05,0.08659198135137558,0.08666956424713135,0.01728752627968788,0.0010375395650044084,0.01732904464006424,0.001073053223080933,0.29916054010391235,0.12096533179283142,0.24693971872329712,True,False,-0.002125710481777787,-0.119999960064888,-0.0009653684101067483,0.119999960064888,-0.0014646718045696616,-0.119999960064888,-0.00035291153471916914,0.119999960064888
31,combo_a0p40_nppn,-0.4,0.4,0.4,-0.4,0.08659465610980988,0.08659259229898453,-2.0638108253479004e-06,0.08658992499113083,0.08659712970256805,0.014925309456884861,0.0013933145673945546,0.01505976915359497,0.0014115559170022607,0.2580994963645935,0.12110801041126251,0.20965464413166046,True,False,-0.0022529212292283773,-0.119999960064888,-0.0011080523254349828,0.119999960064888,-0.0007637058733962476,0.119999960064888,-0.001844631740823388,-0.119999960064888
32,combo_a0p40_nppp,-0.4,0.4,0.4,0.4,0.08636680990457535,0.0855863094329834,-0.0007805004715919495,0.08558119833469391,0.08639039844274521,-0.022058822214603424,0.00378468818962574,0.022233949974179268,0.003802768187597394,1.336638331413269,0.12404283881187439,0.3225864768028259,True,False,-0.005193130113184452,-0.119999960064888,-0.004042881075292826,0.119999960064888,0.12250305712223053,0.119999960064888,0.12237325310707092,0.119999960064888
33,combo_a0p40_pnnn,0.4,-0.4,-0.4,-0.4,0.0865970030426979,0.08418580889701843,-0.002411194145679474,0.08203019946813583,0.09459985047578812,0.26925304532051086,0.01309820357710123,0.28436845541000366,0.03076014667749405,28.61817169189453,0.1296808421611786,1.0,True,False,-0.009680883027613163,0.119999960064888,-0.010987577959895134,-0.119999960064888,-0.12499051541090012,-0.119999960064888,-0.12530292570590973,-0.119999960064888
34,combo_a0p40_pnnp,0.4,-0.4,-0.4,0.4,0.08636821061372757,0.08636634796857834,-1.862645149230957e-06,0.08636350929737091,0.08637052029371262,0.014603438787162304,-0.00039491301868110895,0.014607777819037437,0.0004110132285859436,0.22480420768260956,0.12108965218067169,0.20709769427776337,True,False,-0.0010896936291828752,0.119999960064888,-0.002210475504398346,-0.119999960064888,-0.0020755568984895945,-0.119999960064888,-0.0009752529440447688,0.119999960064888
35,combo_a0p40_pnpn,0.4,-0.4,0.4,-0.4,0.08636748045682907,0.08629805594682693,-6.942451000213623e-05,0.08629311621189117,0.08636866509914398,0.012427829205989838,-6.993314309511334e-05,0.01424254197627306,8.536898531019688e-05,0.3338540494441986,0.12136008590459824,0.20470339059829712,True,False,-0.00129735900554806,0.119999960064888,-0.0024225846864283085,-0.119999960064888,-0.0013601286336779594,0.119999960064888,-0.002445834456011653,-0.119999960064888
36,combo_a0p40_pnpp,0.4,-0.4,0.4,0.4,0.08636980503797531,0.08546655625104904,-0.0009032487869262695,0.08546067774295807,0.08637886494398117,-0.0249350406229496,0.00344823463819921,0.025036288425326347,0.00346699682995677,1.3423511981964111,0.12444809079170227,0.3651873469352722,True,False,-0.0044481344521045685,0.119999960064888,-0.005606198217719793,-0.119999960064888,0.12228918820619583,0.119999960064888,0.12215974926948547,0.119999960064888
37,combo_a0p40_ppnn,0.4,0.4,-0.4,-0.4,0.08659597486257553,0.08531607687473297,-0.0012798979878425598,0.08531183004379272,0.08659831434488297,0.012272126041352749,0.00264384294860065,0.014750007539987564,0.002675139345228672,0.6641098856925964,0.00869537889957428,0.20817823708057404,True,False,0.12559640407562256,0.119999960064888,0.1254732459783554,0.119999960064888,-0.12869533896446228,-0.119999960064888,-0.12864907085895538,-0.119999960064888
38,combo_a0p40_ppnp,0.4,0.4,-0.4,0.4,0.08636938035488129,0.08564106374979019,-0.000728316605091095,0.08563469350337982,0.08639240264892578,-0.024874450638890266,-0.0040794191882014275,0.02491791546344757,0.004103434272110462,1.3653632402420044,0.12417817115783691,0.3609709143638611,True,False,0.12267378717660904,0.119999960064888,0.12251824140548706,0.119999960064888,-0.005284463986754417,-0.119999960064888,-0.004178213886916637,0.119999960064888
39,combo_a0p40_pppn,0.4,0.4,0.4,-0.4,0.08659680932760239,0.08571446686983109,-0.0008823424577713013,0.08570925891399384,0.08660911023616791,-0.028929367661476135,-0.0028888073284178972,0.029054639860987663,0.0029111672192811966,0.9944167733192444,0.12479691207408905,0.4196780323982239,True,False,0.12275420129299164,0.119999960064888,0.1225953996181488,0.119999960064888,-0.004796949680894613,0.119999960064888,-0.005923638120293617,-0.119999960064888
40,combo_a0p40_pppp,0.4,0.4,0.4,0.4,0.08659514039754868,0.08181990683078766,-0.004775233566761017,0.08009931445121765,0.09165960550308228,-0.26515504717826843,-0.0002852783945854753,0.2751642167568207,0.02437860146164894,64.01050567626953,0.0021820440888404846,1.0,True,False,0.11911629885435104,0.119999960064888,0.11925000697374344,0.119999960064888,0.1184409111738205,0.119999960064888,0.11781791597604752,0.119999960064888
